iter	Passed	Remaining
0	48	48285
1	49	24704
2	50	16842
3	51	12909
4	52	10524
5	54	8952
6	55	7814
7	56	6980
8	57	6330
9	58	5807
10	59	5371
11	60	5015
12	61	4707
13	63	4441
14	64	4211
15	65	4011
16	66	3837
17	67	3680
18	68	3541
19	69	3414
20	70	3298
21	71	3194
22	72	3098
23	74	3014
24	75	2949
25	76	2875
26	77	2804
27	78	2739
28	80	2679
29	81	2622
30	82	2569
31	83	2519
32	84	2472
33	85	2427
34	86	2389
35	87	2349
36	88	2312
37	89	2276
38	90	2242
39	92	2210
40	93	2179
41	94	2150
42	95	2122
43	96	2095
44	97	2071
45	98	2050
46	99	2026
47	101	2004
48	102	1982
49	103	1963
50	104	1943
51	105	1926
52	106	1907
53	107	1888
54	108	1870
55	109	1854
56	111	1837
57	112	1821
58	113	1806
59	114	1791
60	115	1776
61	116	1762
62	117	1748
63	118	1734
64	119	1722
65	120	1710
66	122	1701
67	123	1689
68	124	1678
69	125	1666
70	126	1655
71	127	1644
72	128	1634
73	129	1624
74	130	1614
75	131	1604
76	133	1594
77	134	1585
78	135	1576
79	136	1567
80	137	1559
81	138	1551
82	139	1542
83	140	1534
84	141	1526
85	142	1518
86	143	1511
87	145	1503
88	146	1495
89	147	1488
90	148	1481
91	149	1474
92	150	1467
93	151	1460
94	152	1453
95	153	1446
96	154	1440
97	155	1433
98	156	1427
99	157	1421
100	159	1415
101	160	1409
102	161	1403
103	162	1397
104	163	1391
105	164	1386
106	165	1380
107	166	1376
108	167	1370
109	168	1365
110	169	1360
111	170	1355
112	172	1350
113	173	1345
114	174	1340
115	175	1335
116	176	1331
117	177	1326
118	178	1321
119	179	1317
120	180	1312
121	181	1308
122	182	1304
123	183	1299
124	185	1295
125	186	1291
126	187	1286
127	188	1282
128	189	1278
129	190	1274
130	191	1270
131	192	1266
132	193	1262
133	194	1258
134	195	1254
135	196	1250
136	197	1246
137	199	1243
138	200	1239
139	201	1235
140	202	1232
141	203	1228
142	204	1224
143	205	1221
144	206	1217
145	207	1214
146	208	1210
147	209	1207
148	210	1203
149	211	1200
150	212	1197
151	214	1194
152	215	1190
153	216	1187
154	217	1184
155	218	1181
156	219	1178
157	220	1175
158	221	1172
159	222	1169
160	223	1166
161	224	1163
162	226	1160
163	227	1157
164	228	1154
165	229	1151
166	230	1148
167	231	1145
168	232	1142
169	233	1140
170	234	1137
171	235	1134
172	236	1131
173	237	1129
174	238	1126
175	239	1123
176	241	1120
177	242	1117
178	243	1115
179	244	1112
180	245	1109
181	246	1107
182	247	1105
183	248	1102
184	249	1099
185	250	1097
186	251	1095
187	252	1092
188	254	1090
189	255	1087
190	256	1085
191	257	1082
192	258	1080
193	259	1077
194	260	1075
195	261	1073
196	262	1070
197	263	1068
198	264	1066
199	265	1063
200	266	1061
201	268	1059
202	268	1055
203	269	1053
204	271	1051
205	272	1048
206	273	1046
207	274	1044
208	275	1042
209	276	1039
210	277	1037
211	278	1035
212	279	1033
213	280	1031
214	281	1028
215	282	1026
216	283	1024
217	284	1022
218	286	1020
219	287	1018
220	288	1015
221	289	1013
222	290	1011
223	291	1009
224	292	1007
225	293	1005
226	294	1003
227	295	1001
228	296	999
229	297	997
230	299	995
231	300	993
232	301	991
233	302	989
234	303	987
235	304	985
236	305	983
237	306	981
238	307	979
239	308	977
240	309	975
241	310	973
242	311	971
243	312	969
244	314	967
245	315	965
246	316	963
247	317	961
248	318	959
249	319	958
250	320	956
251	321	954
252	322	952
253	323	950
254	324	948
255	325	946
256	326	945
257	327	943
258	329	941
259	330	939
260	331	937
261	332	935
262	333	933
263	334	932
264	335	930
265	336	928
266	337	926
267	338	924
268	339	922
269	340	921
270	341	919
271	342	917
272	344	916
273	345	914
274	346	912
275	347	910
276	348	909
277	349	907
278	350	905
279	351	903
280	352	902
281	353	900
282	354	898
283	355	897
284	356	895
285	357	893
286	359	892
287	360	890
288	361	888
289	362	887
290	363	885
291	364	883
292	365	882
293	366	880
294	367	878
295	368	877
296	369	875
297	370	873
298	372	872
299	373	870
300	374	868
301	375	867
302	376	865
303	378	866
304	379	864
305	380	863
306	381	861
307	382	859
308	383	858
309	384	856
310	385	855
311	387	853
312	388	851
313	389	850
314	390	848
315	391	846
316	392	845
317	393	843
318	394	842
319	395	840
320	396	838
321	397	837
322	398	835
323	399	834
324	400	832
325	401	831
326	403	829
327	404	828
328	405	826
329	406	824
330	407	823
331	408	821
332	409	820
333	410	818
334	411	817
335	412	815
336	413	813
337	414	812
338	415	810
339	416	809
340	418	807
341	419	806
342	420	804
343	421	803
344	422	801
345	423	800
346	424	798
347	425	797
348	426	795
349	427	794
350	428	792
351	429	791
352	430	789
353	431	787
354	432	785
355	433	784
356	434	782
357	435	781
358	436	779
359	437	778
360	438	776
361	439	775
362	441	773
363	442	772
364	443	771
365	444	769
366	445	768
367	446	766
368	447	765
369	448	763
370	449	762
371	450	760
372	451	759
373	452	758
374	453	756
375	454	755
376	456	753
377	457	752
378	458	750
379	459	749
380	460	748
381	461	746
382	462	745
383	463	743
384	464	742
385	465	740
386	466	739
387	467	738
388	469	736
389	470	735
390	471	733
391	472	732
392	473	731
393	474	729
394	475	728
395	476	726
396	477	725
397	478	724
398	479	722
399	480	721
400	481	719
401	482	718
402	484	717
403	485	715
404	486	714
405	487	712
406	488	711
407	489	710
408	490	708
409	491	707
410	492	705
411	493	704
412	494	703
413	495	701
414	496	700
415	497	699
416	499	697
417	500	696
418	501	694
419	502	693
420	503	692
421	504	690
422	505	689
423	506	688
424	508	688
425	509	686
426	510	685
427	511	684
428	512	682
429	513	681
430	515	679
431	516	678
432	517	677
433	518	675
434	519	674
435	520	673
436	521	671
437	522	670
438	523	669
439	524	667
440	525	666
441	526	665
442	527	663
443	529	662
444	530	661
445	531	659
446	532	658
447	533	657
448	534	655
449	535	654
450	536	653
451	537	651
452	538	650
453	539	649
454	540	647
455	541	646
456	542	645
457	543	643
458	545	642
459	546	641
460	547	639
461	548	638
462	549	637
463	550	635
464	551	634
465	552	633
466	553	631
467	554	630
468	555	629
469	556	627
470	557	626
471	558	625
472	560	623
473	561	622
474	562	621
475	563	620
476	564	618
477	565	617
478	566	616
479	567	614
480	568	613
481	569	612
482	570	610
483	571	609
484	573	608
485	574	607
