iter	Passed	Remaining
0	4	4381
1	7	3952
2	11	3869
3	15	3776
4	18	3719
5	22	3783
6	26	3757
7	30	3731
8	33	3722
9	37	3761
10	41	3746
11	45	3731
12	50	3805
13	54	3843
14	58	3835
15	62	3832
16	66	3859
17	70	3860
18	74	3855
19	78	3863
20	84	3933
21	88	3932
22	92	3930
23	96	3938
24	101	3950
25	105	3936
26	109	3937
27	113	3935
28	117	3949
29	122	3945
30	126	3957
31	131	3975
32	135	3975
33	140	4002
34	145	3999
35	150	4027
36	154	4023
37	158	4020
38	163	4029
39	167	4026
40	172	4023
41	176	4023
42	181	4041
43	185	4038
44	189	4030
45	193	4007
46	196	3991
47	199	3963
48	203	3941
49	207	3934
50	211	3936
51	214	3915
52	218	3902
53	223	3917
54	231	3975
55	236	3994
56	242	4010
57	249	4045
58	255	4072
59	264	4136
60	269	4148
61	274	4153
62	279	4162
63	285	4175
64	292	4209
65	298	4221
66	303	4228
67	310	4258
68	316	4263
69	321	4273
70	327	4280
71	332	4288
72	340	4329
73	346	4333
74	352	4341
75	358	4353
76	363	4354
77	369	4362
78	375	4373
79	380	4376
80	387	4398
81	393	4403
82	398	4406
83	404	4416
84	410	4420
85	418	4445
86	424	4452
87	430	4460
88	438	4483
89	443	4489
90	451	4514
91	459	4532
92	467	4559
93	474	4569
94	482	4591
95	488	4603
96	496	4618
97	503	4636
98	511	4651
99	520	4686
100	528	4701
101	536	4724
102	546	4756
103	553	4767
104	560	4781
105	568	4791
106	576	4807
107	583	4819
108	591	4835
109	600	4855
110	607	4865
111	615	4877
112	625	4909
113	633	4919
114	640	4929
115	650	4955
116	658	4973
117	667	4987
118	674	4993
119	681	4999
120	689	5005
121	695	5007
122	703	5014
123	710	5021
124	719	5036
125	726	5039
126	733	5044
127	741	5049
128	748	5056
129	757	5067
130	765	5076
131	772	5081
132	780	5084
133	787	5089
134	796	5100
135	802	5100
136	809	5101
137	817	5103
138	824	5106
139	832	5113
140	840	5123
141	848	5126
142	855	5124
143	862	5125
144	868	5123
145	876	5125
146	882	5122
147	889	5119
148	896	5118
149	903	5118
150	910	5121
151	917	5117
152	926	5127
153	933	5129
154	942	5135
155	948	5131
156	956	5133
157	963	5132
158	970	5131
159	976	5127
160	984	5130
161	996	5155
162	1013	5202
163	1024	5223
164	1037	5252
165	1050	5279
166	1064	5307
167	1076	5332
168	1088	5354
169	1096	5351
170	1104	5356
171	1120	5395
172	1135	5428
173	1144	5431
174	1155	5445
175	1164	5451
176	1173	5454
177	1184	5467
178	1193	5472
179	1203	5484
180	1213	5490
181	1222	5493
182	1231	5498
183	1241	5507
184	1250	5509
185	1262	5523
186	1271	5528
187	1280	5532
188	1290	5536
189	1299	5538
190	1307	5536
191	1315	5536
192	1323	5533
193	1331	5532
194	1340	5532
195	1348	5531
196	1357	5531
197	1365	5530
198	1373	5529
199	1381	5526
200	1392	5533
201	1403	5544
202	1413	5549
203	1423	5554
204	1433	5558
205	1441	5555
206	1450	5555
207	1459	5558
208	1469	5560
209	1477	5559
210	1487	5563
211	1496	5561
212	1504	5559
213	1515	5564
214	1524	5567
215	1534	5568
216	1543	5567
217	1551	5564
218	1559	5562
219	1568	5560
220	1576	5557
221	1583	5550
222	1591	5545
223	1599	5541
224	1608	5539
225	1615	5532
226	1622	5526
227	1630	5519
228	1637	5512
229	1644	5506
230	1652	5500
231	1659	5494
232	1666	5486
233	1673	5477
234	1680	5470
235	1688	5465
236	1695	5459
237	1704	5456
238	1711	5449
239	1718	5442
240	1725	5435
241	1735	5436
242	1742	5429
243	1751	5426
244	1758	5420
245	1766	5413
246	1773	5407
247	1780	5399
248	1788	5395
249	1795	5386
250	1803	5380
251	1810	5372
252	1818	5368
253	1824	5360
254	1832	5354
255	1839	5346
256	1847	5342
257	1854	5332
258	1857	5313
259	1860	5296
260	1864	5278
261	1868	5263
262	1871	5245
263	1875	5229
264	1879	5214
265	1884	5199
266	1892	5194
267	1903	5200
268	1915	5203
269	1924	5203
270	1936	5209
271	1947	5213
272	1959	5218
273	1970	5220
274	1982	5227
275	1995	5234
276	2005	5235
277	2016	5237
278	2032	5253
279	2044	5258
280	2057	5264
281	2066	5262
282	2078	5265
283	2091	5272
284	2102	5275
285	2112	5273
286	2123	5274
287	2135	5280
288	2147	5283
289	2157	5281
290	2168	5283
291	2180	5287
292	2190	5285
293	2201	5286
294	2211	5284
295	2222	5285
296	2234	5288
297	2244	5287
298	2254	5285
299	2264	5284
300	2276	5286
301	2286	5285
302	2297	5284
303	2307	5283
304	2318	5282
305	2328	5280
306	2339	5281
307	2347	5275
308	2357	5271
309	2366	5268
310	2375	5263
311	2386	5261
312	2394	5255
313	2403	5250
314	2411	5244
315	2420	5240
316	2431	5238
317	2439	5232
318	2448	5227
319	2456	5219
320	2466	5218
321	2475	5211
322	2483	5205
323	2491	5197
324	2498	5189
325	2506	5181
326	2513	5173
327	2520	5164
328	2528	5157
329	2535	5148
330	2543	5141
331	2550	5132
332	2558	5124
333	2565	5115
334	2572	5105
335	2578	5096
336	2585	5086
337	2592	5077
338	2599	5068
339	2606	5060
340	2615	5053
341	2622	5045
342	2629	5036
343	2636	5028
344	2643	5019
345	2650	5010
346	2657	5001
347	2664	4992
348	2671	4983
349	2680	4978
350	2688	4970
351	2694	4960
352	2702	4952
353	2709	4943
354	2715	4934
355	2723	4926
356	2730	4917
357	2737	4908
358	2743	4898
359	2752	4892
360	2758	4883
361	2765	4874
362	2773	4867
363	2782	4861
364	2788	4851
365	2797	4845
366	2803	4836
367	2811	4829
368	2818	4820
369	2826	4813
370	2835	4806
371	2843	4799
372	2850	4791
373	2858	4784
374	2865	4775
375	2871	4765
376	2878	4756
377	2885	4747
378	2893	4741
379	2900	4731
380	2910	4728
381	2919	4722
382	2928	4717
383	2936	4711
384	2946	4707
385	2956	4702
386	2965	4697
387	2975	4692
388	2984	4688
389	2994	4683
390	3003	4677
391	3011	4671
392	3020	4665
393	3031	4662
394	3040	4656
395	3049	4651
396	3057	4644
397	3066	4638
398	3074	4631
399	3082	4624
400	3090	4616
401	3101	4613
402	3109	4606
403	3118	4600
404	3126	4593
405	3135	4586
406	3143	4579
407	3151	4572
408	3162	4569
409	3171	4563
410	3183	4561
411	3193	4557
412	3201	4549
413	3209	4542
414	3217	4535
415	3221	4522
416	3225	4509
417	3229	4496
418	3233	4483
419	3237	4470
420	3240	4456
421	3243	4443
422	3247	4429
423	3257	4425
424	3269	4423
425	3278	4418
426	3288	4413
427	3298	4407
428	3308	4403
429	3319	4399
430	3329	4395
431	3339	4390
432	3348	4385
433	3359	4381
434	3367	4374
435	3376	4368
436	3384	4360
437	3392	4353
438	3401	4346
439	3409	4339
440	3417	4331
441	3424	4323
442	3432	4315
443	3443	4311
444	3451	4304
445	3459	4297
446	3468	4291
447	3476	4283
448	3485	4277
449	3493	4270
450	3501	4262
451	3510	4255
452	3518	4248
453	3526	4241
454	3534	4233
455	3543	4227
456	3552	4220
457	3562	4215
458	3571	4209
459	3580	4203
460	3588	4196
461	3598	4190
462	3609	4185
463	3618	4180
464	3626	4172
465	3635	4166
466	3643	4158
467	3653	4152
468	3661	4145
469	3668	4137
470	3676	4128
471	3683	4120
472	3691	4112
473	3699	4105
474	3707	4097
475	3715	4090
476	3724	4083
477	3732	4075
478	3741	4069
479	3750	4063
480	3761	4058
481	3773	4055
482	3782	4048
483	3791	4042
484	3801	4036
485	3811	4030
486	3819	4023
487	3829	4017
488	3838	4011
489	3848	4005
490	3859	4001
491	3868	3994
492	3877	3987
493	3888	3982
494	3897	3976
495	3907	3970
496	3917	3964
497	3927	3959
498	3936	3952
499	3945	3945
500	3956	3940
501	3965	3934
502	3975	3928
503	3984	3921
504	3994	3914
505	4002	3907
506	4011	3900
507	4019	3892
508	4028	3886
509	4036	3878
510	4044	3870
511	4052	3862
512	4061	3855
513	4069	3847
514	4077	3840
515	4084	3831
516	4092	3823
517	4099	3814
518	4106	3806
519	4114	3797
520	4122	3790
521	4131	3783
522	4142	3777
523	4152	3771
524	4160	3764
525	4169	3757
526	4178	3750
527	4188	3743
528	4196	3736
529	4205	3729
530	4214	3722
531	4225	3717
532	4233	3709
533	4241	3700
534	4250	3694
535	4258	3686
536	4266	3678
537	4275	3671
538	4284	3664
539	4293	3657
540	4302	3650
541	4313	3644
542	4323	3639
543	4332	3631
544	4341	3624
545	4349	3616
546	4357	3608
547	4365	3600
548	4372	3591
549	4380	3584
550	4388	3576
551	4396	3568
552	4404	3559
553	4411	3551
554	4422	3546
555	4429	3537
556	4437	3529
557	4445	3521
558	4455	3514
559	4462	3505
560	4469	3497
561	4476	3488
562	4482	3479
563	4490	3471
564	4496	3462
565	4504	3454
566	4512	3445
567	4519	3437
568	4526	3428
569	4533	3420
570	4540	3411
571	4547	3402
572	4553	3393
573	4562	3386
574	4569	3377
575	4576	3368
576	4583	3360
577	4590	3351
578	4597	3343
579	4604	3334
580	4609	3324
581	4613	3313
582	4616	3302
583	4620	3291
584	4623	3279
585	4627	3269
586	4631	3258
587	4634	3247
588	4637	3236
589	4641	3225
590	4646	3215
591	4657	3209
592	4668	3203
593	4680	3199
594	4691	3193
595	4702	3187
596	4716	3183
597	4729	3179
598	4740	3173
599	4750	3167
600	4761	3161
601	4773	3155
602	4782	3148
603	4793	3142
604	4805	3137
605	4815	3130
606	4826	3124
607	4835	3117
608	4844	3110
609	4858	3106
610	4867	3099
611	4878	3092
612	4888	3086
613	4898	3079
614	4909	3073
615	4923	3069
616	4933	3062
617	4944	3056
618	4954	3049
619	4966	3044
620	4975	3036
621	4986	3030
622	4998	3025
623	5008	3018
624	5018	3010
625	5027	3003
626	5038	2997
627	5047	2989
628	5055	2982
629	5064	2974
630	5074	2967
631	5082	2959
632	5092	2952
633	5101	2945
634	5111	2937
635	5119	2930
636	5128	2922
637	5139	2916
638	5146	2907
639	5155	2900
640	5163	2891
641	5171	2883
642	5178	2875
643	5187	2867
644	5194	2859
645	5204	2851
646	5214	2844
647	5222	2837
648	5230	2828
649	5237	2820
650	5244	2811
651	5251	2802
652	5257	2793
653	5265	2785
654	5273	2777
655	5280	2768
656	5286	2760
657	5293	2751
658	5300	2742
659	5307	2734
660	5314	2725
661	5321	2717
662	5328	2708
663	5335	2700
664	5342	2691
665	5349	2682
666	5355	2673
667	5362	2665
668	5368	2656
669	5375	2647
670	5381	2638
671	5388	2630
672	5395	2621
673	5402	2612
674	5409	2604
675	5418	2597
676	5424	2588
677	5431	2579
678	5437	2570
679	5444	2562
680	5451	2553
681	5458	2545
682	5466	2537
683	5473	2528
684	5479	2519
685	5486	2511
686	5493	2502
687	5500	2494
688	5507	2485
689	5514	2477
690	5521	2468
691	5527	2460
692	5535	2452
693	5543	2444
694	5551	2436
695	5557	2427
696	5565	2419
697	5572	2410
698	5579	2402
699	5585	2393
700	5593	2385
701	5601	2378
702	5611	2370
703	5619	2362
704	5628	2355
705	5636	2347
706	5645	2339
707	5654	2332
708	5663	2324
709	5672	2316
710	5683	2310
711	5693	2302
712	5701	2294
713	5709	2287
714	5719	2279
715	5727	2271
716	5737	2264
717	5744	2256
718	5754	2248
719	5761	2240
720	5769	2232
721	5777	2224
722	5786	2216
723	5793	2208
724	5803	2201
725	5811	2193
726	5819	2185
727	5829	2178
728	5837	2170
729	5844	2161
730	5852	2153
731	5860	2145
732	5868	2137
733	5876	2129
734	5883	2121
735	5891	2113
736	5898	2104
737	5906	2096
738	5913	2088
739	5919	2079
740	5927	2071
741	5934	2063
742	5941	2055
743	5948	2046
744	5955	2038
745	5963	2030
746	5970	2022
747	5976	2013
748	5984	2005
749	5991	1997
750	5998	1988
751	6005	1980
752	6012	1972
753	6019	1964
754	6026	1955
755	6034	1947
756	6041	1939
757	6049	1931
758	6055	1922
759	6062	1914
760	6069	1906
761	6076	1897
762	6083	1889
763	6090	1881
764	6099	1873
765	6106	1865
766	6113	1857
767	6120	1848
768	6128	1840
769	6134	1832
770	6141	1824
771	6148	1815
772	6155	1807
773	6162	1799
774	6170	1791
775	6178	1783
776	6184	1775
777	6192	1767
778	6200	1758
779	6209	1751
780	6217	1743
781	6225	1735
782	6235	1728
783	6245	1720
784	6254	1712
785	6260	1704
786	6267	1696
787	6274	1688
788	6282	1679
789	6289	1671
790	6296	1663
791	6305	1655
792	6313	1647
793	6321	1640
794	6329	1632
795	6338	1624
796	6346	1616
797	6353	1608
798	6364	1601
799	6371	1592
800	6380	1585
801	6387	1576
802	6397	1569
803	6408	1562
804	6429	1557
805	6447	1551
806	6457	1544
807	6470	1537
808	6480	1529
809	6488	1522
810	6499	1514
811	6511	1507
812	6521	1500
813	6532	1492
814	6542	1485
815	6552	1477
816	6562	1469
817	6572	1462
818	6582	1454
819	6593	1447
820	6602	1439
821	6611	1431
822	6620	1423
823	6629	1415
824	6641	1408
825	6651	1401
826	6661	1393
827	6672	1386
828	6682	1378
829	6691	1370
830	6700	1362
831	6709	1354
832	6718	1346
833	6725	1338
834	6735	1330
835	6743	1322
836	6751	1314
837	6760	1306
838	6773	1299
839	6788	1293
840	6806	1286
841	6817	1279
842	6826	1271
843	6842	1264
844	6852	1256
845	6863	1249
846	6873	1241
847	6882	1233
848	6893	1226
849	6903	1218
850	6915	1210
851	6926	1203
852	6938	1195
853	6948	1187
854	6960	1180
855	6972	1172
856	6983	1165
857	6994	1157
858	7006	1150
859	7017	1142
860	7028	1134
861	7055	1129
862	7066	1121
863	7078	1114
864	7097	1107
865	7114	1100
866	7125	1093
867	7138	1085
868	7152	1078
869	7166	1070
870	7183	1063
871	7200	1056
872	7213	1049
873	7227	1041
874	7237	1033
875	7251	1026
876	7263	1018
877	7276	1011
878	7289	1003
879	7300	995
880	7313	987
881	7326	980
882	7343	973
883	7357	965
884	7366	957
885	7376	949
886	7386	941
887	7394	932
888	7405	924
889	7413	916
890	7424	908
891	7433	899
892	7442	891
893	7452	883
894	7461	875
895	7475	867
896	7485	859
897	7494	851
898	7504	843
899	7514	834
900	7523	826
901	7533	818
902	7543	810
903	7553	802
904	7562	793
905	7570	785
906	7579	777
907	7587	768
908	7597	760
909	7608	752
910	7616	744
911	7625	735
912	7633	727
913	7643	719
914	7651	710
915	7662	702
916	7674	694
917	7682	686
918	7691	677
919	7700	669
920	7708	661
921	7717	652
922	7725	644
923	7735	636
924	7743	627
925	7753	619
926	7761	611
927	7773	603
928	7782	594
929	7791	586
930	7801	578
931	7814	570
932	7824	561
933	7835	553
934	7845	545
935	7855	537
936	7866	528
937	7880	520
938	7890	512
939	7901	504
940	7914	496
941	7925	487
942	7936	479
943	7945	471
944	7956	463
945	7966	454
946	7979	446
947	7990	438
948	8002	430
949	8013	421
950	8027	413
951	8041	405
952	8051	397
953	8061	388
954	8074	380
955	8084	372
956	8093	363
957	8104	355
958	8114	346
959	8125	338
960	8135	330
961	8146	321
962	8161	313
963	8172	305
964	8183	296
965	8192	288
966	8203	279
967	8213	271
968	8223	263
969	8233	254
970	8244	246
971	8255	237
972	8265	229
973	8276	220
974	8284	212
975	8299	204
976	8313	195
977	8324	187
978	8333	178
979	8346	170
980	8356	161
981	8367	153
982	8380	144
983	8392	136
984	8403	127
985	8413	119
986	8422	110
987	8436	102
988	8444	93
989	8454	85
990	8463	76
991	8471	68
992	8481	59
993	8489	51
994	8499	42
995	8507	34
996	8516	25
997	8525	17
998	8534	8
999	8544	0
