iter	Logloss
0	0.677628565
1	0.6610957819
2	0.6453861097
3	0.6278384348
4	0.6128631121
5	0.5981045658
6	0.5839413313
7	0.5690065481
8	0.5558887913
9	0.5417006812
10	0.5299736589
11	0.5184423397
12	0.5070037534
13	0.4968203354
14	0.4882023849
15	0.4786063109
16	0.4685974493
17	0.4604186519
18	0.4516039593
19	0.4452193233
20	0.4378062963
21	0.430271331
22	0.4237269871
23	0.4158678385
24	0.4105992704
25	0.4055014381
26	0.3996288863
27	0.3932347471
28	0.3885296306
29	0.3822036648
30	0.378027327
31	0.3739079469
32	0.3703991803
33	0.365993371
34	0.3615617758
35	0.357745419
36	0.3543662155
37	0.3508510656
38	0.3468906661
39	0.3430473652
40	0.3392793884
41	0.3359071378
42	0.331753425
43	0.3289182214
44	0.3261864524
45	0.3228317575
46	0.3191621061
47	0.316952092
48	0.3145976127
49	0.3126504406
50	0.3103346342
51	0.3081962802
52	0.3058185275
53	0.3038191863
54	0.3020775213
55	0.3002326458
56	0.2983399301
57	0.2971686129
58	0.2950002983
59	0.2933365357
60	0.2912723992
61	0.2896007702
62	0.287278972
63	0.2853433047
64	0.2842237128
65	0.2824463416
66	0.2812125669
67	0.2805432064
68	0.2791016882
69	0.277743983
70	0.2766932946
71	0.2758530195
72	0.274478106
73	0.2732043939
74	0.272469541
75	0.2709438062
76	0.2702048701
77	0.2692320882
78	0.2684472609
79	0.2675216148
80	0.2663477497
81	0.265338433
82	0.2640743126
83	0.2629929325
84	0.2623231174
85	0.2615197915
86	0.2605579123
87	0.2597215213
88	0.2587993942
89	0.2579202874
90	0.2569984979
91	0.2561682016
92	0.2553821349
93	0.2543323203
94	0.2529346002
95	0.2518399252
96	0.2508953728
97	0.2500659839
98	0.249294155
99	0.2482995584
100	0.2476759252
101	0.2468402802
102	0.2459875517
103	0.2453078979
104	0.2444212477
105	0.2438687137
106	0.2433686069
107	0.2425922338
108	0.2420372123
109	0.2414395165
110	0.2407747084
111	0.2401287002
112	0.2392515595
113	0.2383513423
114	0.2373429765
115	0.2367968416
116	0.2358788134
117	0.2351490026
118	0.2344345433
119	0.2336714981
120	0.2329344044
121	0.2322791075
122	0.2314544679
123	0.2306114314
124	0.2301025684
125	0.2295089572
126	0.2287420104
127	0.2278775769
128	0.227441525
129	0.2271286961
130	0.2267239098
131	0.2264027634
132	0.2256298391
133	0.2252929445
134	0.2249405638
135	0.2244583043
136	0.2239175433
137	0.2235113519
138	0.2227464047
139	0.2221877951
140	0.2215702955
141	0.2209148996
142	0.2203842537
143	0.2199399331
144	0.2194568271
145	0.2186876713
146	0.2183498162
147	0.217997359
148	0.2175743544
149	0.2172082716
150	0.2167064249
151	0.2161926437
152	0.2157392612
153	0.2152456987
154	0.2148295922
155	0.2144441537
156	0.2137894933
157	0.2134215222
158	0.2130378009
159	0.2126572285
160	0.2122488818
161	0.2117312213
162	0.2112942446
163	0.2108495467
164	0.2105022828
165	0.2102332335
166	0.2098255309
167	0.2094891171
168	0.2091850325
169	0.2086259137
170	0.2080467474
171	0.2076421673
172	0.2072117624
173	0.2065980855
174	0.2061737945
175	0.2058443184
176	0.2053706914
177	0.2049804383
178	0.2046781191
179	0.2044215573
180	0.2040371522
181	0.2037134468
182	0.2033205687
183	0.2029464322
184	0.2026400494
185	0.2021285037
186	0.2017790298
187	0.2015731913
188	0.201290511
189	0.2008194631
190	0.200288253
191	0.1999132371
192	0.1994882144
193	0.1991148524
194	0.1985731865
195	0.1981168191
196	0.1976744558
197	0.1971328504
198	0.1967818861
199	0.1962320352
200	0.195850035
201	0.1951416095
202	0.1950693335
203	0.1947127025
204	0.1941438503
205	0.1937602657
206	0.1933403445
207	0.1930601486
208	0.1926628401
209	0.1923191893
210	0.1919491255
211	0.1915028873
212	0.1910283348
213	0.1907799406
214	0.1905212721
215	0.1900418914
216	0.1897157347
217	0.189447672
218	0.1891309855
219	0.1888815555
220	0.1886710431
221	0.1883489082
222	0.1879460168
223	0.1876474636
224	0.1873399968
225	0.1870442671
226	0.1867608131
227	0.1864794407
228	0.1861087784
229	0.1857400821
230	0.1851494864
231	0.1848528328
232	0.1844748414
233	0.184164254
234	0.1838218667
235	0.1835031847
236	0.183233468
237	0.1827819221
238	0.1823220016
239	0.18207783
240	0.1818843731
241	0.1815042672
242	0.1812877872
243	0.1807069513
244	0.1801923483
245	0.1798199109
246	0.1795466559
247	0.1793223373
248	0.1790516247
249	0.1787359845
250	0.178570745
251	0.1783096071
