iter	Passed	Remaining
0	47	47866
1	49	24502
2	50	16702
3	51	12802
4	52	10468
5	53	8905
6	54	7776
7	56	6944
8	57	6284
9	58	5764
10	59	5330
11	60	4979
12	61	4672
13	62	4409
14	63	4180
15	64	3981
16	65	3812
17	67	3657
18	68	3517
19	69	3395
20	70	3280
21	71	3178
22	72	3082
23	73	3000
24	74	2920
25	75	2846
26	77	2779
27	78	2715
28	79	2656
29	80	2602
30	81	2550
31	82	2500
32	83	2454
33	84	2412
34	85	2370
35	87	2333
36	88	2297
37	89	2263
38	90	2229
39	91	2198
40	92	2168
41	93	2140
42	95	2114
43	96	2088
44	97	2063
45	98	2040
46	99	2017
47	100	1994
48	101	1972
49	102	1952
50	103	1931
51	104	1912
52	105	1893
53	107	1876
54	108	1859
55	109	1842
56	110	1827
57	111	1812
58	112	1797
59	113	1782
60	114	1768
61	116	1755
62	117	1742
63	118	1729
64	119	1716
65	120	1704
66	121	1691
67	122	1679
68	123	1668
69	124	1657
70	125	1646
71	126	1635
72	127	1625
73	129	1614
74	130	1604
75	132	1610
76	133	1601
77	134	1591
78	135	1582
79	136	1573
80	137	1563
81	138	1555
82	140	1546
83	141	1538
84	142	1530
85	143	1522
86	144	1514
87	145	1506
88	146	1498
89	147	1490
90	148	1483
91	149	1476
92	150	1469
93	151	1463
94	152	1456
95	153	1449
96	155	1443
97	156	1437
98	157	1430
99	158	1424
100	159	1418
101	160	1412
102	161	1406
103	162	1400
104	163	1395
105	164	1389
106	165	1384
107	166	1378
108	168	1373
109	169	1368
110	170	1364
111	171	1359
112	172	1354
113	173	1349
114	174	1344
115	175	1339
116	176	1335
117	177	1330
118	179	1325
119	180	1320
120	181	1316
121	182	1311
122	183	1307
123	184	1303
124	185	1299
125	186	1294
126	187	1290
127	188	1286
128	189	1282
129	191	1278
130	192	1274
131	193	1270
132	194	1266
133	195	1262
134	196	1258
135	197	1254
136	198	1250
137	199	1247
138	200	1243
139	201	1239
140	202	1236
141	203	1232
142	205	1228
143	206	1225
144	207	1222
145	208	1218
146	209	1215
147	210	1211
148	211	1208
149	212	1205
150	213	1201
151	214	1198
152	215	1195
153	216	1192
154	218	1188
155	219	1185
156	220	1182
157	221	1179
158	222	1176
159	223	1173
160	224	1170
161	225	1167
162	226	1164
163	227	1161
164	228	1158
165	229	1155
166	231	1152
167	232	1149
168	233	1146
169	234	1144
170	235	1141
171	236	1138
172	237	1135
173	238	1132
174	239	1129
175	240	1127
176	241	1124
177	242	1122
178	244	1119
179	245	1116
180	246	1114
181	247	1111
182	248	1108
183	249	1106
184	250	1103
185	251	1101
186	252	1098
187	253	1096
188	254	1093
189	255	1091
190	256	1088
191	258	1085
192	260	1087
193	261	1084
194	262	1082
195	263	1080
196	264	1077
197	265	1075
198	266	1072
199	267	1070
200	268	1068
201	269	1065
202	270	1062
203	271	1060
204	272	1057
205	273	1055
206	274	1053
207	276	1051
208	277	1048
209	278	1046
210	279	1044
211	280	1042
212	281	1039
213	282	1037
214	283	1035
215	284	1033
216	285	1031
217	286	1028
218	287	1026
219	288	1024
220	289	1022
221	291	1019
222	292	1017
223	293	1015
224	294	1013
225	295	1011
226	296	1009
227	297	1007
228	298	1005
229	299	1003
230	300	1001
231	301	999
232	302	997
233	303	995
234	305	993
235	306	990
236	307	988
237	308	986
238	309	984
239	310	982
240	311	980
241	312	978
242	313	976
243	314	975
244	315	973
245	316	971
246	317	969
247	319	967
248	320	965
249	321	963
250	322	961
251	323	959
252	324	957
253	325	955
254	326	953
255	327	952
256	328	950
257	329	948
258	330	946
259	331	944
260	332	942
261	334	940
262	335	939
263	336	937
264	337	935
265	338	933
266	339	931
267	340	929
268	341	928
269	342	926
270	343	924
271	344	922
272	345	920
273	346	919
274	347	917
275	349	915
276	350	913
277	351	912
278	352	910
279	353	908
280	354	906
281	355	904
282	356	903
283	357	901
284	358	900
285	359	898
286	360	896
287	361	894
288	363	893
289	364	891
290	365	889
291	366	888
292	367	886
293	368	884
294	369	883
295	370	881
296	371	879
297	372	878
298	373	876
299	374	874
300	375	873
301	377	871
302	378	869
303	379	868
304	380	866
305	381	864
306	382	863
307	383	861
308	384	860
309	385	858
310	387	858
311	388	857
312	389	855
313	390	854
314	392	852
315	393	850
316	394	849
317	395	847
318	396	846
319	397	844
320	398	842
321	399	841
322	400	839
323	401	838
324	402	836
325	403	834
326	404	833
327	405	831
328	407	830
329	408	828
330	409	827
331	410	825
332	411	823
333	412	822
334	413	820
335	414	819
336	415	817
337	416	816
338	417	814
339	418	813
340	419	811
341	421	810
342	422	808
343	423	806
344	424	805
345	425	803
346	426	802
347	427	800
348	428	799
349	429	797
350	430	796
351	431	794
352	432	793
353	433	790
354	434	789
355	435	787
356	436	786
357	437	784
358	438	783
359	439	781
360	440	780
361	441	778
362	442	777
363	444	775
364	445	774
365	446	772
366	447	771
367	448	770
368	449	768
369	450	767
370	451	765
371	452	764
372	453	762
373	454	761
374	455	759
375	457	758
376	458	757
377	459	755
378	460	754
379	461	752
380	462	751
381	463	749
382	464	748
383	465	746
384	466	745
385	467	744
