as_of_date,current_plan_tier,current_billing_frequency,current_auto_renew_flag,current_mrr_amount,current_seats,days_since_join,days_to_expiry,cancel_flag_30d,renewal_failure_count_90d,plan_change_up_flag_90d,plan_change_down_flag_90d,usage_intensity_30d,usage_drop_ratio_30d_vs_prev_30d,leave_next_30d,leave_reason
2023-01-31,Enterprise,annual,True,3582.0,18.0,29,,0,0,1,0,52.836666666666666,0.0,0,stay
2023-01-31,Pro,monthly,True,931.0,19.0,28,,0,0,0,0,17.491666666666667,0.0,0,stay
2023-01-31,,,,,,28,,1,0,0,0,32.194722222222225,0.0,0,stay
2023-01-31,,,,,,2,,0,0,0,0,11.482777777777777,0.0,0,stay
2023-01-31,,,,,,1,,0,0,0,0,16.52,0.0,0,stay
2023-01-31,,,,,,3,,0,0,0,0,44.449444444444445,0.0,0,stay
2023-01-31,,,,,,20,,0,0,0,0,43.38,0.0,0,stay
2023-01-31,,,,,,1,,0,0,0,0,12.87,0.0,0,stay
2023-01-31,,,,,,5,,0,0,0,0,28.7575,0.0,0,stay
2023-01-31,,,,,,4,,0,0,0,0,15.166666666666666,0.0,0,stay
2023-01-31,,,,,,14,,0,0,0,0,19.18638888888889,0.0,0,stay
2023-01-31,,,,,,4,,0,0,0,0,0.0,0.0,0,stay
2023-01-31,,,,,,4,,0,0,0,0,54.36388888888889,0.0,0,stay
2023-01-31,,,,,,11,,0,0,0,0,17.177777777777777,0.0,0,stay
2023-01-31,,,,,,21,,0,0,0,0,10.375,0.0,0,stay
2023-01-31,,,,,,8,,0,0,0,0,32.38333333333333,0.0,0,stay
2023-01-31,,,,,,7,,0,0,0,0,37.76555555555556,0.0,0,stay
2023-02-28,Basic,annual,False,0.0,47.0,48,,0,0,0,0,9.3675,0.7840594744121715,0,stay
2023-02-28,Basic,annual,True,76.0,4.0,36,,0,0,1,0,18.219722222222224,0.43737347744038424,0,stay
2023-02-28,Enterprise,annual,True,3582.0,18.0,7,,0,0,0,0,8.895555555555555,0.7905833115354434,0,stay
2023-02-28,Enterprise,annual,True,1194.0,6.0,8,,0,0,0,0,24.505833333333335,0.33141090253200045,0,stay
2023-02-28,Pro,annual,True,686.0,14.0,29,178.0,0,0,0,0,13.466666666666667,0.18482647296206614,0,stay
2023-02-28,Pro,annual,True,1176.0,24.0,25,107.0,0,0,0,1,23.650277777777777,0.4277735585291924,1,churn_event
2023-02-28,Pro,annual,True,931.0,19.0,57,269.0,0,0,1,0,36.850833333333334,0.30255188947069583,0,stay
2023-02-28,Basic,monthly,True,494.0,26.0,39,480.0,0,0,0,0,9.395,0.4530724450194049,0,stay
2023-02-28,Pro,monthly,True,343.0,7.0,31,,0,0,0,1,38.504444444444445,0.13374745341149122,0,stay
2023-02-28,Pro,monthly,True,931.0,19.0,56,,0,0,0,0,0.0,1.0,0,stay
2023-02-28,,,,,,56,,0,0,0,0,41.79833333333333,0.0,0,stay
2023-02-28,,,,,,0,,0,0,0,0,26.669444444444444,0.0,0,stay
2023-02-28,,,,,,22,,0,0,0,0,17.785,0.0,0,stay
2023-02-28,,,,,,19,,0,0,0,0,15.545833333333333,0.0,1,churn_event
2023-02-28,,,,,,30,,0,0,0,0,47.098333333333336,0.0,0,stay
2023-02-28,,,,,,7,,0,0,0,0,54.41583333333333,0.0,0,stay
2023-02-28,,,,,,29,,0,0,0,0,29.2775,0.0,0,stay
2023-02-28,,,,,,1,,0,0,0,0,8.21111111111111,0.7045595378495614,0,stay
2023-02-28,,,,,,33,,0,0,0,0,0.0,1.0,0,stay
2023-02-28,,,,,,32,,0,0,0,0,19.355,0.0,0,stay
2023-02-28,,,,,,2,,0,0,0,0,0.0,1.0,0,stay
2023-02-28,,,,,,20,,0,0,0,0,17.64,0.0,0,stay
2023-02-28,,,,,,4,,0,0,0,0,21.964444444444446,0.5727408303974755,0,stay
2023-02-28,,,,,,42,,0,0,0,0,8.96888888888889,0.12220319169181405,0,stay
2023-02-28,,,,,,13,,0,0,0,0,17.338055555555556,0.0,0,stay
2023-02-28,,,,,,16,,0,0,0,0,28.93638888888889,0.0,0,stay
2023-02-28,,,,,,15,,0,0,0,0,36.4225,0.05575279232048855,0,stay
2023-02-28,,,,,,32,,0,0,0,0,29.301666666666666,0.0,0,stay
2023-02-28,,,,,,32,,0,0,0,0,22.29277777777778,0.5899340861478718,0,stay
2023-02-28,,,,,,12,,0,0,0,0,7.303333333333334,0.5938204850919202,0,stay
2023-02-28,,,,,,7,,0,0,0,0,50.23222222222222,0.0,0,stay
2023-02-28,,,,,,12,,0,0,0,0,15.796666666666667,0.0,0,stay
2023-02-28,,,,,,49,,0,0,0,0,0.0,1.0,0,stay
2023-02-28,,,,,,2,,0,0,0,0,41.340833333333336,0.0,0,stay
2023-02-28,,,,,,35,,0,0,0,0,0.0,1.0,0,stay
2023-03-31,Basic,annual,True,646.0,34.0,17,,0,0,0,0,34.79555555555555,0.0,0,stay
2023-03-31,Basic,annual,True,722.0,38.0,50,,1,0,0,0,18.096666666666668,0.0,0,stay
2023-03-31,Basic,annual,False,0.0,47.0,79,,0,0,0,0,40.11805555555556,0.0,0,stay
2023-03-31,Enterprise,annual,True,3582.0,18.0,38,,0,0,0,0,41.76166666666667,0.0,0,stay
2023-03-31,Enterprise,annual,True,1791.0,9.0,46,,0,0,0,0,22.195833333333333,0.04269848686338649,1,churn_event
2023-03-31,Pro,annual,True,1176.0,24.0,56,76.0,1,0,0,1,22.36611111111111,0.05429816422170286,0,stay
2023-03-31,Pro,annual,False,2058.0,42.0,73,,0,0,0,0,25.84611111111111,0.0,0,stay
2023-03-31,Pro,annual,True,392.0,8.0,44,,0,0,0,0,41.71611111111111,0.0,0,stay
2023-03-31,Basic,monthly,True,0.0,85.0,62,,0,0,0,1,51.96666666666667,0.0,0,stay
2023-03-31,Basic,monthly,True,494.0,26.0,39,,0,0,0,0,35.590833333333336,0.0,0,stay
2023-03-31,Basic,monthly,True,494.0,26.0,70,449.0,0,0,0,0,20.924166666666668,0.0,0,stay
2023-03-31,Enterprise,monthly,True,1194.0,6.0,60,,0,0,1,0,35.189166666666665,0.0,0,stay
2023-03-31,Enterprise,monthly,False,8756.0,44.0,28,,0,0,0,0,20.03472222222222,0.3085381754036124,0,stay
2023-03-31,Enterprise,monthly,True,3781.0,19.0,38,,0,0,1,0,9.08,0.8192395319516026,0,stay
2023-03-31,Enterprise,monthly,True,0.0,42.0,66,,0,0,0,0,0.0,0.0,0,stay
2023-03-31,Pro,monthly,False,1274.0,26.0,38,,0,0,0,0,31.375,0.5137417988324637,0,stay
2023-03-31,Pro,monthly,True,1029.0,21.0,88,,0,0,1,1,27.023611111111112,0.2666757121427979,0,stay
2023-03-31,Pro,monthly,True,931.0,19.0,87,,0,0,0,0,75.26194444444444,0.0,0,stay
2023-03-31,Pro,monthly,True,196.0,4.0,26,444.0,1,0,0,0,37.69694444444445,0.0,0,stay
2023-03-31,Pro,monthly,True,1960.0,40.0,33,614.0,0,0,0,0,9.1175,0.8057718708577921,0,stay
2023-03-31,Pro,monthly,False,0.0,9.0,67,,0,0,1,0,15.158888888888889,0.16799560915369494,0,stay
2023-03-31,,,,,,22,,0,0,0,0,36.983333333333334,0.0,0,stay
2023-03-31,,,,,,24,,0,0,0,0,53.66833333333334,0.0,0,stay
2023-03-31,,,,,,30,,0,0,0,0,22.119166666666665,0.15056963645673327,0,stay
2023-03-31,,,,,,17,,0,0,0,0,24.17,0.0,0,stay
2023-03-31,,,,,,87,,0,0,0,0,25.765,0.3835878623549583,0,stay
2023-03-31,,,,,,31,,0,0,0,0,0.0,1.0,0,stay
2023-03-31,,,,,,19,,0,0,0,0,0.0,1.0,0,stay
2023-03-31,,,,,,53,,0,0,0,0,20.906944444444445,0.0,0,stay
2023-03-31,,,,,,61,,0,0,0,0,25.11,0.40120030206277074,0,stay
2023-03-31,,,,,,3,,0,0,0,0,13.083333333333334,0.5869689130530099,0,stay
2023-03-31,,,,,,15,,1,0,0,0,19.346666666666668,0.0,0,stay
2023-03-31,,,,,,7,,0,0,0,0,32.13361111111111,0.0,0,stay
2023-03-31,,,,,,28,,1,0,0,0,40.129444444444445,0.0,0,stay
2023-03-31,,,,,,60,,0,0,0,0,29.830833333333334,0.0,0,stay
2023-03-31,,,,,,7,,0,0,0,0,22.12388888888889,0.0,0,stay
2023-03-31,,,,,,19,,0,0,0,0,40.83722222222222,0.0,0,stay
2023-03-31,,,,,,32,,0,0,0,0,28.396944444444443,0.0,0,stay
2023-03-31,,,,,,64,,0,0,0,0,24.864166666666666,0.0,0,stay
2023-03-31,,,,,,63,,0,0,0,0,6.423333333333334,0.6681305433565832,0,stay
2023-03-31,,,,,,33,,0,0,0,0,15.043888888888889,0.0,0,stay
2023-03-31,,,,,,51,,0,0,0,0,20.844444444444445,0.0,0,stay
2023-03-31,,,,,,3,,0,0,0,0,14.590833333333332,0.0,0,stay
2023-03-31,,,,,,10,,0,0,0,0,0.0,0.0,0,stay
2023-03-31,,,,,,35,,0,0,0,0,28.877777777777776,0.0,0,stay
2023-03-31,,,,,,6,,0,0,0,0,39.35055555555556,0.0,0,stay
2023-03-31,,,,,,47,,0,0,0,0,44.625,0.0,0,stay
2023-03-31,,,,,,5,,0,0,0,0,11.3025,0.6483718759722077,0,stay
2023-03-31,,,,,,63,,0,0,0,0,35.468333333333334,0.0,0,stay
2023-03-31,,,,,,63,,0,0,0,0,25.544722222222223,0.0,1,churn_event
2023-03-31,,,,,,9,,0,0,0,0,9.117777777777778,0.5365151087263484,0,stay
2023-03-31,,,,,,43,,0,0,0,0,0.0,1.0,0,stay
2023-03-31,,,,,,43,,0,0,0,0,10.03888888888889,0.36449321235141025,0,stay
2023-03-31,,,,,,9,,0,0,0,0,0.0,0.0,0,stay
2023-03-31,,,,,,80,,0,0,0,0,0.0,0.0,0,stay
2023-04-30,Basic,annual,False,285.0,15.0,16,,0,0,0,0,10.05,0.49749999999999994,0,stay
2023-04-30,Basic,annual,False,912.0,48.0,52,,0,0,0,1,25.407777777777778,0.31299384106955086,0,stay
2023-04-30,Basic,annual,True,646.0,34.0,47,,0,0,0,0,86.30388888888889,0.0,0,stay
2023-04-30,Basic,annual,False,0.0,4.0,83,,0,0,0,0,8.042222222222222,0.6153324918620873,0,stay
2023-04-30,Basic,annual,True,722.0,38.0,80,,0,0,0,0,5.5680555555555555,0.6923159575121262,0,stay
2023-04-30,Basic,annual,True,1254.0,66.0,94,,0,0,0,0,15.162222222222223,0.39019785277787083,0,stay
2023-04-30,Basic,annual,True,836.0,44.0,58,,0,0,0,0,11.563888888888888,0.42280762564991337,0,stay
2023-04-30,Basic,annual,True,0.0,39.0,56,,0,0,0,0,62.124722222222225,0.0,0,stay
2023-04-30,Enterprise,annual,True,3582.0,18.0,68,,0,0,0,0,29.740000000000002,0.28786367083050646,0,stay
2023-04-30,Enterprise,annual,False,6169.0,31.0,36,,0,0,0,0,15.32611111111111,0.6105236407787551,0,stay
2023-04-30,Enterprise,annual,True,2786.0,14.0,76,,1,0,0,0,26.526666666666667,0.0,0,stay
2023-04-30,Enterprise,annual,True,4577.0,23.0,93,,0,0,1,0,7.661111111111111,0.7840013783813418,0,stay
2023-04-30,Enterprise,annual,True,0.0,19.0,68,258.0,0,0,1,0,12.47,0.0,0,stay
2023-04-30,Enterprise,annual,True,0.0,13.0,27,,0,0,0,0,26.055555555555557,0.0,0,stay
2023-04-30,Enterprise,annual,True,2388.0,12.0,97,,0,0,1,0,7.5872222222222225,0.49948691636736786,0,stay
2023-04-30,Pro,annual,True,2156.0,44.0,45,,0,0,1,0,12.97,0.3296002756719504,1,churn_event
2023-04-30,Pro,annual,True,1176.0,24.0,86,46.0,0,0,0,1,40.05638888888889,0.0,0,stay
2023-04-30,Pro,annual,True,931.0,19.0,117,,0,0,0,0,36.26722222222222,0.5181200473900414,0,stay
2023-04-30,Pro,annual,True,735.0,15.0,17,,0,0,0,0,0.0,1.0,0,stay
2023-04-30,Pro,annual,True,392.0,8.0,74,,0,0,0,0,24.32027777777778,0.41700515388405757,0,stay
2023-04-30,Basic,monthly,True,0.0,85.0,92,,0,0,0,1,7.820555555555556,0.8495082317725037,0,stay
2023-04-30,Basic,monthly,False,893.0,47.0,109,,0,0,0,0,7.338333333333333,0.8170815302059893,0,stay
2023-04-30,Basic,monthly,True,0.0,26.0,100,,0,0,0,0,8.844444444444445,0.5773095968245118,0,stay
2023-04-30,Enterprise,monthly,True,1194.0,6.0,90,,0,0,1,0,51.52861111111111,0.0,1,churn_event
2023-04-30,Enterprise,monthly,True,2985.0,15.0,49,,0,0,0,1,4.377777777777778,0.8927993252343314,0,stay
2023-04-30,Enterprise,monthly,False,2189.0,11.0,27,,0,0,0,0,59.7025,0.0,0,stay
2023-04-30,Enterprise,monthly,True,0.0,42.0,103,,0,0,0,0,28.477222222222224,0.0,1,churn_event
2023-04-30,Enterprise,monthly,True,1393.0,7.0,39,,0,0,0,0,19.92,0.0,0,stay
2023-04-30,Enterprise,monthly,True,1592.0,8.0,73,,0,0,0,0,72.93527777777777,0.0,0,stay
2023-04-30,Enterprise,monthly,True,0.0,42.0,96,,0,0,0,0,35.83444444444444,0.0,0,stay
2023-04-30,Pro,monthly,True,980.0,20.0,117,,0,0,0,0,12.329166666666666,0.5214761627530888,0,stay
2023-04-30,Pro,monthly,True,1029.0,21.0,25,,0,0,0,0,12.188055555555556,0.7638329709130837,0,stay
2023-04-30,Pro,monthly,False,1274.0,26.0,68,,0,0,0,0,28.59888888888889,0.08848162903939792,0,stay
2023-04-30,Pro,monthly,True,1029.0,21.0,118,,0,0,1,1,33.471111111111114,0.0,0,stay
2023-04-30,Pro,monthly,False,833.0,17.0,69,,0,0,0,0,24.68638888888889,0.30638351011106174,0,stay
2023-04-30,Pro,monthly,True,1960.0,40.0,63,584.0,0,0,0,0,52.68361111111111,0.0,0,stay
2023-04-30,,,,,,15,,1,0,0,0,30.713333333333335,0.0,0,stay
2023-04-30,,,,,,54,,0,0,0,0,6.776666666666666,0.8737306294835565,0,stay
2023-04-30,,,,,,2,,0,0,0,0,81.46055555555556,0.0,0,stay
2023-04-30,,,,,,5,,0,0,0,0,28.199166666666667,0.0,0,stay
2023-04-30,,,,,,60,,0,0,0,0,21.169722222222223,0.04292406032977924,0,stay
2023-04-30,,,,,,47,,0,0,0,0,23.626666666666665,0.022479657978210034,0,stay
2023-04-30,,,,,,23,,0,0,0,0,10.165,0.6145240803943877,0,stay
2023-04-30,,,,,,24,,0,0,0,0,16.134999999999998,0.22142991180334035,0,stay
2023-04-30,,,,,,61,,0,0,0,0,12.86,0.0,0,stay
2023-04-30,,,,,,49,,0,0,0,0,13.783333333333333,0.0,0,stay
2023-04-30,,,,,,5,,0,0,0,0,31.15388888888889,0.0,0,stay
2023-04-30,,,,,,91,,0,0,0,0,8.45111111111111,0.6634364352404973,0,stay
2023-04-30,,,,,,33,,0,0,0,0,19.432777777777776,0.0,0,stay
2023-04-30,,,,,,24,,0,0,0,0,20.11277777777778,0.0,0,stay
2023-04-30,,,,,,37,,0,0,0,0,0.0,1.0,0,stay
2023-04-30,,,,,,11,,0,0,0,0,13.436944444444444,0.5881431405437161,0,stay
2023-04-30,,,,,,58,,0,0,0,0,51.13444444444445,0.0,0,stay
2023-04-30,,,,,,90,,0,0,0,0,18.916666666666668,0.3658686482107439,0,stay
2023-04-30,,,,,,3,,0,0,0,0,0.0,1.0,0,stay
2023-04-30,,,,,,37,,0,0,0,0,29.47222222222222,0.0,0,stay
2023-04-30,,,,,,62,,0,0,0,0,21.51361111111111,0.2423969715051502,0,stay
2023-04-30,,,,,,93,,0,0,0,0,11.898333333333333,0.0,0,stay
2023-04-30,,,,,,26,,0,0,0,0,13.57,0.6751818508224843,0,stay
2023-04-30,,,,,,63,,0,0,0,0,12.443333333333333,0.17286458140994865,0,stay
2023-04-30,,,,,,81,,0,0,0,0,0.0,1.0,0,stay
2023-04-30,,,,,,33,,0,0,0,0,8.137777777777778,0.4422677860909627,0,stay
2023-04-30,,,,,,40,,0,0,0,0,40.07555555555555,0.0,0,stay
2023-04-30,,,,,,65,,0,0,0,0,34.175555555555555,0.0,0,stay
2023-04-30,,,,,,77,,0,0,0,0,22.732222222222223,0.4905944600062247,0,stay
2023-04-30,,,,,,35,,0,0,0,0,32.665,0.0,0,stay
2023-04-30,,,,,,93,,1,0,0,0,30.860555555555557,0.0,0,stay
2023-04-30,,,,,,73,,0,0,0,0,0.0,0.0,0,stay
2023-04-30,,,,,,39,,0,0,0,0,6.91,0.0,0,stay
2023-04-30,,,,,,110,,0,0,0,0,0.0,0.0,0,stay
2023-05-31,Basic,annual,True,95.0,5.0,46,,0,0,0,0,6.873333333333333,0.776210115042327,0,stay
2023-05-31,Basic,annual,False,285.0,15.0,47,,0,0,0,0,24.531666666666666,0.0,0,stay
2023-05-31,Basic,annual,True,570.0,30.0,19,,0,0,0,0,14.311666666666667,0.4300915888677492,0,stay
2023-05-31,Basic,annual,False,646.0,34.0,78,,0,0,0,0,39.09,0.5470656015243294,0,stay
2023-05-31,Basic,annual,True,342.0,18.0,80,,0,0,0,0,12.033333333333333,0.12696493349455865,0,stay
2023-05-31,Basic,annual,False,0.0,4.0,114,,0,0,0,0,0.0,1.0,0,stay
2023-05-31,Basic,annual,True,722.0,38.0,111,,0,0,0,0,12.393333333333333,0.0,0,stay
2023-05-31,Basic,annual,True,1026.0,54.0,64,,0,0,0,0,23.056666666666665,0.0,1,churn_event
2023-05-31,Basic,annual,True,38.0,2.0,121,,1,0,1,0,29.88,0.42012797636695903,0,stay
2023-05-31,Basic,annual,True,1254.0,66.0,125,,0,0,0,0,17.430555555555557,0.0,0,stay
2023-05-31,Basic,annual,True,0.0,39.0,87,,0,0,0,0,47.471944444444446,0.23586065665395328,0,stay
2023-05-31,Enterprise,annual,False,5572.0,28.0,56,,0,0,0,0,14.762222222222222,0.0,0,stay
2023-05-31,Enterprise,annual,True,2786.0,14.0,20,,0,0,0,0,7.729166666666667,0.0,0,stay
2023-05-31,Enterprise,annual,True,3582.0,18.0,99,,0,0,0,0,19.245,0.3528917283120377,1,churn_event
2023-05-31,Enterprise,annual,False,0.0,80.0,48,,0,0,0,0,22.321666666666665,0.0,0,stay
2023-05-31,Enterprise,annual,False,6169.0,31.0,67,,0,0,0,0,49.25222222222222,0.0,0,stay
