iter	Passed	Remaining
0	195	97530
1	251	62505
2	305	50579
3	346	42904
4	415	41176
5	467	38456
6	507	35762
7	551	33905
8	588	32117
9	629	30842
10	670	29816
11	711	28926
12	724	27131
13	782	27175
14	822	26600
15	860	26038
16	913	25967
17	952	25499
18	990	25071
19	1017	24424
20	1061	24207
21	1131	24577
22	1171	24304
23	1206	23923
24	1243	23623
25	1279	23329
26	1336	23409
27	1376	23210
28	1415	22996
29	1429	22392
30	1474	22312
31	1499	21924
32	1512	21406
33	1550	21253
34	1588	21109
35	1638	21115
36	1676	20978
37	1712	20815
38	1751	20704
39	1788	20572
40	1828	20467
41	1868	20378
42	1906	20261
43	1945	20163
44	1986	20081
45	2023	19968
46	2050	19762
47	2089	19672
48	2127	19577
49	2164	19480
50	2204	19404
51	2243	19331
52	2283	19258
53	2322	19185
54	2364	19134
55	2403	19052
56	2442	18984
57	2484	18935
58	2523	18865
59	2567	18826
60	2607	18765
61	2649	18717
62	2683	18615
63	2723	18552
64	2763	18495
65	2789	18344
66	2829	18287
67	2871	18240
68	2915	18208
69	2959	18177
70	3015	18219
71	3072	18263
72	3116	18227
73	3160	18191
74	3203	18150
75	3240	18080
76	3285	18047
77	3298	17846
78	3337	17783
79	3375	17722
80	3404	17611
81	3446	17571
82	3490	17536
83	3532	17495
84	3573	17448
85	3587	17271
86	3608	17128
87	3662	17148
88	3678	16987
89	3719	16944
90	3772	16957
91	3813	16911
92	3854	16867
93	3887	16792
94	3927	16742
95	3948	16616
96	3988	16570
97	4026	16516
98	4064	16461
99	4104	16417
100	4112	16247
101	4155	16215
102	4196	16173
103	4218	16064
104	4258	16021
105	4299	15981
106	4344	15956
107	4388	15927
108	4427	15883
109	4467	15840
110	4488	15729
111	4527	15685
112	4568	15645
113	4608	15603
114	4645	15553
115	4685	15509
116	4698	15380
117	4737	15335
118	4771	15275
119	4813	15243
120	4865	15240
121	4908	15207
122	4949	15170
123	4957	15031
124	4994	14984
125	5033	14940
126	5074	14905
127	5107	14842
128	5122	14730
129	5163	14695
130	5178	14585
131	5221	14557
132	5259	14512
133	5279	14419
134	5299	14328
135	5339	14291
136	5380	14256
137	5395	14152
138	5433	14110
139	5469	14064
140	5508	14024
141	5547	13986
142	5568	13902
143	5608	13865
144	5624	13769
145	5666	13738
146	5693	13673
147	5744	13662
148	5778	13612
149	5801	13535
150	5843	13505
151	5897	13501
152	5939	13471
153	5995	13471
154	6039	13442
155	6065	13375
156	6108	13345
157	6148	13308
158	6202	13303
159	6245	13271
160	6287	13239
161	6296	13136
162	6337	13103
163	6377	13065
164	6418	13032
165	6459	12997
166	6500	12962
167	6516	12877
168	6558	12846
169	6602	12816
170	6646	12788
171	6689	12756
172	6730	12721
173	6753	12653
174	6794	12619
175	6836	12584
176	6877	12549
177	6932	12540
178	6976	12510
179	7020	12480
180	7060	12443
181	7102	12409
182	7142	12371
183	7185	12340
184	7230	12311
185	7289	12306
186	7331	12271
187	7374	12238
188	7415	12201
189	7456	12165
190	7496	12127
191	7537	12090
192	7577	12053
193	7617	12014
194	7656	11976
195	7671	11898
196	7710	11859
197	7751	11822
198	7794	11789
199	7837	11756
200	7880	11722
201	7921	11686
202	7978	11672
203	8020	11637
