iter	Logloss
0	0.6660406242
1	0.6384271167
2	0.6123810047
3	0.5898353611
4	0.5687373991
5	0.5514090282
6	0.5364979669
7	0.522931167
8	0.5119361903
9	0.5015789735
10	0.493630335
11	0.4860169172
12	0.4813948407
13	0.4752592652
14	0.4691589034
15	0.462956335
16	0.4577387289
17	0.4527691447
18	0.4489890218
19	0.4461668289
20	0.4426708514
21	0.4399209523
22	0.4365302496
23	0.4342963845
24	0.4323039573
25	0.4302595279
26	0.4279539922
27	0.4257914459
28	0.4239107934
29	0.4232015846
30	0.4217828936
31	0.4208057248
32	0.4203020522
33	0.418576315
34	0.4173655066
35	0.4166711566
36	0.4153744683
37	0.4149526855
38	0.4139196135
39	0.413112733
40	0.4116934913
41	0.4108969307
42	0.4102251383
43	0.4092833728
44	0.4083928159
45	0.4075810023
46	0.4073559996
47	0.4065322397
48	0.4061805198
49	0.4054422967
50	0.404808868
51	0.4042805578
52	0.4035432443
53	0.4028668953
54	0.4021520762
55	0.4018197648
56	0.4010828975
57	0.4007333772
58	0.4001284888
59	0.399493929
60	0.3992051361
61	0.3986136059
62	0.3985283626
63	0.3983048872
64	0.3981377452
65	0.3980775273
66	0.3975846571
67	0.3972850282
68	0.3969112324
69	0.3960797915
70	0.3958847112
71	0.3954324886
72	0.3953640668
73	0.3950482558
74	0.3949595709
75	0.3944937461
76	0.3942309214
77	0.3942048029
78	0.3938782953
79	0.3933894957
80	0.3933541891
81	0.3930818357
82	0.3928130416
83	0.3925598883
84	0.3924489713
85	0.3924414693
86	0.3922956895
87	0.3920569442
88	0.3920345581
89	0.3918451444
90	0.3915563801
91	0.3913067407
92	0.391116522
93	0.3910864404
94	0.3908673664
95	0.3908241418
96	0.3901779158
97	0.3898588162
98	0.3896416259
99	0.3893946667
100	0.3893946647
101	0.3893391017
102	0.3892488993
103	0.3891837462
104	0.3889653847
105	0.3887531072
106	0.3886264358
107	0.3884117026
108	0.3882308393
109	0.3881378153
110	0.3880959018
111	0.3879516762
112	0.3877555078
113	0.3874400001
114	0.3871169368
115	0.3868532515
116	0.386844749
117	0.3867356449
118	0.3866662709
119	0.3865782589
120	0.3863005834
121	0.3861190572
122	0.3859221504
123	0.3859221478
124	0.3857529877
125	0.3851005849
126	0.3849597278
127	0.3849387035
128	0.3849208125
129	0.3848106849
130	0.3848106789
131	0.3845749525
132	0.3844260075
133	0.3844125196
134	0.3844026004
135	0.3841756765
136	0.3840390653
137	0.3840203031
138	0.3837183423
139	0.3836352103
140	0.3830964663
141	0.3828780411
142	0.3828506685
143	0.3827034127
144	0.382702305
145	0.3825536305
146	0.3824592447
147	0.381984678
148	0.3819499859
149	0.3818812072
150	0.3817112162
151	0.3813753546
152	0.3812466808
153	0.3810345799
154	0.3808886922
155	0.3808759936
156	0.3806019507
157	0.3804721184
158	0.3803416921
159	0.3801872088
160	0.3800416873
161	0.3800416793
162	0.3798071076
163	0.3792946481
164	0.3789810323
165	0.378737628
166	0.378458974
167	0.3784485952
168	0.3783200419
169	0.3780093419
170	0.3779056506
171	0.3774952173
172	0.377407619
173	0.3773919471
174	0.377258553
175	0.3772282285
176	0.3772157542
177	0.3771711559
178	0.3769982319
179	0.3769314107
180	0.3767699264
181	0.3765091412
182	0.3762205431
183	0.3760834118
184	0.3754776003
185	0.3754204734
186	0.3752132838
187	0.3747551332
188	0.374613007
189	0.374486399
190	0.3744131835
191	0.3739087547
192	0.3736142594
193	0.3731474111
194	0.373045241
195	0.373013307
196	0.3729548124
197	0.3728081655
198	0.3726283365
199	0.3722571238
200	0.3719132473
201	0.3718047782
202	0.3714368413
203	0.3713460054
204	0.3712087281
205	0.3709310234
206	0.3705607487
207	0.3701197767
208	0.3699809266
209	0.3698467826
210	0.3693479883
211	0.3690458859
212	0.3689467035
213	0.3687272114
214	0.3684703724
215	0.3684156575
216	0.3683334478
217	0.3681015145
218	0.3676254352
219	0.3675541193
220	0.3673833111
221	0.3673330021
222	0.3670270061
223	0.3669883119
224	0.3665765424
225	0.366125363
226	0.3658518604
227	0.3656045928
228	0.3654567943
229	0.3652875427
230	0.365191608
231	0.3649619844
232	0.3647372512
233	0.364394755
234	0.3642269838
235	0.3641542299
236	0.364098356
237	0.3639935211
238	0.3637450258
239	0.3636522346
240	0.3631949976
241	0.3629275288
242	0.3624418292
243	0.3622889608
244	0.3619748176
245	0.3617846126
246	0.3615268502
247	0.3614027904
248	0.3613352369
249	0.3613157244
250	0.3610873237
251	0.3609959864
252	0.3608505247
253	0.3604565577
254	0.3601275477
255	0.3597809657
256	0.3595429772
257	0.3594009189
258	0.3591069256
259	0.3589561298
260	0.3586703764
261	0.3583816996
262	0.3583401126
263	0.3582464863
264	0.3581430982
265	0.3579798912
266	0.3578162554
267	0.3575330678
268	0.3572039415
269	0.3569650073
270	0.3569109726
271	0.3567326562
272	0.3565173491
273	0.3563452659
274	0.3563365157
275	0.3562498132
276	0.3561155249
277	0.3559858273
278	0.3558423647
279	0.3557198231
280	0.355578318
281	0.3551210794
282	0.3549900905
283	0.3546635672
284	0.3546619817
285	0.3545798339
286	0.3543597046
287	0.3541116633
288	0.3539550535
